sta_station_no,sta_year,sta_month,sta_dd,sta_hh,Count(sta_station_no)
31,2017,9,8,6,0
31,2017,9,8,7,1
31,2017,9,8,8,0
31,2017,9,8,9,3
31,2017,9,8,10,1
31,2017,9,8,11,0
31,2017,9,8,12,0
31,2017,9,8,13,1
31,2017,9,8,14,1
31,2017,9,8,15,0
31,2017,9,8,16,0
31,2017,9,8,17,3
31,2017,9,8,18,7
31,2017,9,8,19,6
31,2017,9,8,20,1
31,2017,9,8,21,2
31,2017,9,8,22,1
31,2017,9,8,23,8
31,2017,9,11,5,0
31,2017,9,11,6,0
31,2017,9,11,7,0
31,2017,9,11,8,0
31,2017,9,11,9,0
31,2017,9,11,10,0
31,2017,9,11,11,0
31,2017,9,11,12,1
31,2017,9,11,13,0
31,2017,9,11,14,0
31,2017,9,11,15,1
31,2017,9,11,16,1
31,2017,9,11,17,2
31,2017,9,11,18,8
31,2017,9,11,19,2
31,2017,9,11,20,5
31,2017,9,11,21,2
31,2017,9,11,22,4
31,2017,9,11,23,3
31,2017,9,12,5,0
31,2017,9,12,6,1
31,2017,9,12,7,1
31,2017,9,12,8,0
31,2017,9,12,9,1
31,2017,9,12,10,2
31,2017,9,12,11,1
31,2017,9,12,12,0
31,2017,9,12,13,2
31,2017,9,12,14,2
31,2017,9,12,15,3
31,2017,9,12,16,4
31,2017,9,12,17,7
31,2017,9,12,18,9
31,2017,9,12,19,4
31,2017,9,12,20,4
31,2017,9,12,21,1
31,2017,9,12,22,2
31,2017,9,12,23,7
31,2017,9,13,5,0
31,2017,9,13,6,0
31,2017,9,13,7,2
31,2017,9,13,8,2
31,2017,9,13,9,3
31,2017,9,13,10,1
31,2017,9,13,11,1
31,2017,9,13,12,2
31,2017,9,13,13,6
31,2017,9,13,14,1
31,2017,9,13,15,0
31,2017,9,13,16,1
31,2017,9,13,17,2
31,2017,9,13,18,5
31,2017,9,13,19,7
31,2017,9,13,20,6
31,2017,9,13,21,2
31,2017,9,13,22,2
31,2017,9,13,23,2
31,2017,9,14,5,0
31,2017,9,14,6,0
31,2017,9,14,7,0
31,2017,9,14,8,0
31,2017,9,14,9,1
31,2017,9,14,10,0
31,2017,9,14,11,1
31,2017,9,14,12,1
31,2017,9,14,13,2
31,2017,9,14,14,1
31,2017,9,14,15,1
31,2017,9,14,16,3
31,2017,9,14,17,8
31,2017,9,14,18,6
31,2017,9,14,19,6
31,2017,9,14,20,2
31,2017,9,14,21,2
31,2017,9,14,22,8
31,2017,9,14,23,0
31,2017,9,15,5,0
31,2017,9,15,6,0
31,2017,9,15,7,0
31,2017,9,15,8,1
31,2017,9,15,9,0
31,2017,9,15,10,2
31,2017,9,15,11,2
31,2017,9,15,12,1
31,2017,9,15,13,2
31,2017,9,15,14,0
31,2017,9,15,15,0
31,2017,9,15,16,9
31,2017,9,15,17,5
31,2017,9,15,18,5
31,2017,9,15,19,6
31,2017,9,15,20,5
31,2017,9,15,21,7
31,2017,9,15,22,5
31,2017,9,15,23,0
31,2017,9,18,5,0
31,2017,9,18,6,0
31,2017,9,18,7,1
31,2017,9,18,8,0
31,2017,9,18,9,1
31,2017,9,18,10,3
31,2017,9,18,11,0
31,2017,9,18,12,1
31,2017,9,18,13,3
31,2017,9,18,14,1
31,2017,9,18,15,1
31,2017,9,18,16,5
31,2017,9,18,17,1
31,2017,9,18,18,5
31,2017,9,18,19,5
31,2017,9,18,20,8
31,2017,9,18,21,4
31,2017,9,18,22,1
31,2017,9,18,23,5
31,2017,9,19,5,0
31,2017,9,19,6,0
31,2017,9,19,7,1
31,2017,9,19,8,3
31,2017,9,19,9,4
31,2017,9,19,10,3
31,2017,9,19,11,3
31,2017,9,19,12,0
31,2017,9,19,13,0
31,2017,9,19,14,0
31,2017,9,19,15,0
31,2017,9,19,16,0
31,2017,9,19,17,1
31,2017,9,19,18,4
31,2017,9,19,19,1
31,2017,9,19,20,1
31,2017,9,19,21,2
31,2017,9,19,22,5
31,2017,9,19,23,2
31,2017,9,20,5,0
31,2017,9,20,6,0
31,2017,9,20,7,0
31,2017,9,20,8,3
31,2017,9,20,9,1
31,2017,9,20,10,1
31,2017,9,20,11,1
31,2017,9,20,12,0
31,2017,9,20,13,2
31,2017,9,20,14,1
31,2017,9,20,15,1
31,2017,9,20,16,4
31,2017,9,20,17,3
31,2017,9,20,18,5
31,2017,9,20,19,1
31,2017,9,20,20,9
31,2017,9,20,21,7
31,2017,9,20,22,3
31,2017,9,20,23,5
31,2017,9,21,5,0
31,2017,9,21,6,0
31,2017,9,21,7,1
31,2017,9,21,8,2
31,2017,9,21,9,6
31,2017,9,21,10,0
31,2017,9,21,11,2
31,2017,9,21,12,5
31,2017,9,21,13,2
31,2017,9,21,14,4
31,2017,9,21,15,2
31,2017,9,21,16,0
31,2017,9,21,17,8
31,2017,9,21,18,2
31,2017,9,21,19,7
31,2017,9,21,20,8
31,2017,9,21,21,6
31,2017,9,21,22,2
31,2017,9,21,23,1
31,2017,9,22,5,0
31,2017,9,22,6,0
31,2017,9,22,7,0
31,2017,9,22,8,0
31,2017,9,22,9,2
31,2017,9,22,10,2
31,2017,9,22,11,1
31,2017,9,22,12,1
31,2017,9,22,13,1
31,2017,9,22,14,4
31,2017,9,22,15,1
31,2017,9,22,16,1
31,2017,9,22,17,4
31,2017,9,22,18,4
31,2017,9,22,19,2
31,2017,9,22,20,5
31,2017,9,22,21,3
31,2017,9,22,22,2
31,2017,9,22,23,1
